"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools",0
"Bell/Cudahy/Maywood Community of Schools",0
"Boyle Heights Community of Schools",0
"Canoga Park/Chatsworth Community of Schools",0
"Carson Community of Schools",0
"Cleveland Community of Schools",0
"Downtown Community of Schools",0
"Eagle Rock/Highland Park Community of Schools",0
"East Los Angeles Community of Schools",0
"Fairfax Community of Schools",0
"Fremont Community of Schools",0
"Gardena Community of Schools",0
"Glassell Park/Los Feliz Community of Schools",0
"H.E.E.T. (C/D) Community of Schools",0
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools",0
"Harbor City/Lomita Community of Schools",0
"Historic Central Avenue Community of Schools",0
"Hollywood Community of Schools",0
"Huntington Park/Vernon Community of Schools",0
"Kennedy/NAHS/VAAS Community of Schools",0
"Kreatwn/PcoUnion Community of Schools",0
"LA Mid-City Community of Schools",0
"Lincoln Heights/El Sereno Community of Schools",0
"MacArthur Park Community of Schools",0
"Manual Arts/Vermont Square Community of Schools",0
"Monroe Community of Schools",0
"North Hollywood/Valley Village Community of Schools",0
"Panorama City Community of Schools",0
"Reseda Community of Schools",0
"Rivera Community of Schools",0
"San Fernando Valley/Sylmar Community of Schools",0
"San Pedro Community of Schools",0
"SO Los Angeles Community of Schools",0
"South Gate Community of Schools",0
"South Mid-City Community of Schools",0
"Sun Valley Community of Schools",0
"Sunland/Tujunga Community of Schools",0
"Taft Community of Schools",0
"Van Nuys/Valley Glen Community of Schools",0
"Venice Community of Schools",0
"West LA Community of Schools",0
"Westchester Community of Schools",0
"Wilmington Community of Schools",0
"District Wide",0
