School name,Cases among students and staff
"Unassigned",76
"102ND ST EEC",1
"107TH ST EL",3
"109TH ST EL",3
"10TH ST EL",6
"112TH ST EEC",1
"112TH ST EL",4
"116TH ST EL",5
"118TH ST EL",3
"122ND ST EL",2
"135TH ST EL",0
"153RD ST EL",3
"156TH ST EL",2
"15TH ST EL",2
"186TH ST EL",2
"1ST ST EL",1
"20TH ST EL",3
"232ND PL EL",3
"24TH ST EEC",0
"24TH ST EL",11
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",1
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",2
"42ND ST EL",4
"49TH ST EL",6
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",1
"52ND ST EL",9
"54TH ST EL",2
"59TH ST EL",4
"61ST ST EL",7
"66TH ST EEC",0
"66TH ST EL",5
"6TH AVE EL",2
"74TH ST EL",4
"75TH ST EEC",0
"75TH ST EL",6
"7TH ST EL AI MAG",2
"92ND ST EL",5
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",0
"ACAD ENRICH SCI MAG",2
"ADAMS MS",4
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",5
"ALEXANDER SCS",7
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",4
"AMANECER PC",1
"AMBLER AVE EL",4
"AMESTOY EL",9
"ANATOLA AVE EL",1
"ANDASOL AVE EL",8
"ANGELES MESA EL",4
"ANGELOU COMMUNITY SH",5
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",1
"ANNANDALE EL",1
"ANTON EEC",0
"ANTON EL",5
"APPERSON ST EL",3
"ARAGON AVE EL",1
"ARLETA SH",2
"ARLINGTON HTS EL",4
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",2
"ATWATER AVE EL",3
"AUDUBON MS",4
"AURORA EL",2
"AVALON GARDENS EL",0
"BACA ARTS ACAD",4
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",3
"BALDWIN HILLS EL",7
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",25
"BARRETT EL",5
"BARTON HILL EL",11
"BASSETT ST EL",6
"BEACHY AVE EL",1
"BECKFORD CES",1
"BEETHOVEN ST EL",0
"BELL SH",15
"BELLINGHAM EL",3
