date,region,caserate
2021-08-23,"Fremont Community of Schools",45.304404411825274
2021-08-23,"Achievement Network Community of Schools",42.209231158854443
2021-08-23,"MacArthur Park Community of Schools",59.874425529160462
2021-08-23,"Gardena Community of Schools",57.702696066394935
2021-08-23,"San Pedro Community of Schools",73.580550543790508
2021-08-23,"Boyle Heights Community of Schools",44.93005207801491
2021-08-23,"Jefferson/South Central (West) Community of Schools",34.9401800021687
2021-08-23,"Carson Community of Schools",66.985834466182
2021-08-23,"Manual Arts/Vermont Square Community of Schools",41.686448430389419
2021-08-23,"LA Mid-City Community of Schools",47.202850443097724
2021-08-23,"Fairfax Community of Schools",39.718129404228058
2021-08-23,"H.E.E.T. (C/D) Community of Schools",73.390351991418967
2021-08-23,"Historic Central Avenue Community of Schools",43.75729288214702
2021-08-23,"East Los Angeles Community of Schools",26.550287904684467
2021-08-23,"South Mid-City Community of Schools",55.123592897760247
2021-08-23,"Rivera Community of Schools",42.366193439054989
2021-08-23,"H.E.E.T. (W) Community of Schools",34.70776065528252
2021-08-23,"Reseda Community of Schools",79.712630920428637
2021-08-23,"Kennedy/NAHS/VAAS Community of Schools",69.490557005420257
2021-08-23,"Canoga Park/Chatsworth Community of Schools",39.038280478563387
2021-08-23,"Lincoln Heights/El Sereno Community of Schools",19.551616266944734
2021-08-23,"Eagle Rock/Highland Park Community of Schools",38.699690402476783
2021-08-23,"Downtown Community of Schools",41.877431370604249
2021-08-23,"Glassell Park/Los Feliz Community of Schools",51.445291148194592
2021-08-23,"Monroe Community of Schools",67.134745027832949
2021-08-23,"Cleveland Community of Schools",42.873095636914734
2021-08-23,"Sunland/Tujunga Community of Schools",57.330484181998223
2021-08-23,"Sun Valley Community of Schools",46.189014843113924
2021-08-23,"Hamilton Community of Schools",47.345188197123086
2021-08-23,"Hollywood Community of Schools",54.049996246528039
2021-08-23,"Wilmington Community of Schools",69.6983406903804
2021-08-23,"Venice Community of Schools",44.931479493771995
2021-08-23,"Bell/Cudahy/Maywood Community of Schools",45.774897993007485
2021-08-23,"North Hollywood/Valley Village Community of Schools",42.548665035634507
2021-08-23,"Kreatwn/PcoUnion Community of Schools",34.209597930319326
2021-08-23,"West LA Community of Schools",50.409854030596591
2021-08-23,"San Fernando Valley/Sylmar Community of Schools",56.734369681152842
2021-08-23,"South Gate Community of Schools",30.552358215742281
2021-08-23,"Panorama City Community of Schools",43.960874821408943
2021-08-23,"Taft Community of Schools",59.446823209967782
2021-08-23,"Van Nuys/Valley Glen Community of Schools",37.937486737954842
2021-08-23,"Harbor City/Lomita Community of Schools",73.020416508455767
2021-08-23,"Westchester Community of Schools",53.231726108760824
2021-08-23,"Huntington Park/Vernon Community of Schools",37.596183569632309
2021-08-24,"Fremont Community of Schools",33.77237419790611
2021-08-24,"Achievement Network Community of Schools",31.656923369140831
2021-08-24,"MacArthur Park Community of Schools",53.401514661143111
2021-08-24,"Gardena Community of Schools",55.24726219122919
2021-08-24,"San Pedro Community of Schools",63.505503810330232
2021-08-24,"Boyle Heights Community of Schools",37.773989035334
2021-08-24,"Jefferson/South Central (West) Community of Schools",28.916011036277546
2021-08-24,"Carson Community of Schools",64.030577063262214
2021-08-24,"Manual Arts/Vermont Square Community of Schools",34.738707025324516
2021-08-24,"LA Mid-City Community of Schools",45.68017784815909
2021-08-24,"Fairfax Community of Schools",35.874439461883405
2021-08-24,"H.E.E.T. (C/D) Community of Schools",50.808705224828522
2021-08-24,"Historic Central Avenue Community of Schools",43.75729288214702
2021-08-24,"East Los Angeles Community of Schools",23.231501916598909
2021-08-24,"South Mid-City Community of Schools",40.617384240454911
2021-08-24,"Rivera Community of Schools",33.228387011023514
2021-08-24,"H.E.E.T. (W) Community of Schools",34.70776065528252
2021-08-24,"Reseda Community of Schools",75.676548342179089
2021-08-24,"Kennedy/NAHS/VAAS Community of Schools",61.769384004818008
2021-08-24,"Canoga Park/Chatsworth Community of Schools",34.445541598732405
2021-08-24,"Lincoln Heights/El Sereno Community of Schools",16.293942726791315
2021-08-24,"Eagle Rock/Highland Park Community of Schools",35.382574082264483
2021-08-24,"Downtown Community of Schools",26.448904023539523
2021-08-24,"Glassell Park/Los Feliz Community of Schools",43.94285285574955
2021-08-24,"Monroe Community of Schools",56.878047870802909
2021-08-24,"Cleveland Community of Schools",37.887851958203719
2021-08-24,"Sunland/Tujunga Community of Schools",36.48303538854433
2021-08-24,"Sun Valley Community of Schools",39.143232917893158
2021-08-24,"Hamilton Community of Schools",40.386597220288
2021-08-24,"Hollywood Community of Schools",46.538161292259652
2021-08-24,"Wilmington Community of Schools",52.5794499944975
2021-08-24,"Venice Community of Schools",39.939092883352885
2021-08-24,"Bell/Cudahy/Maywood Community of Schools",44.196453234627924
2021-08-24,"North Hollywood/Valley Village Community of Schools",39.889373470907351
2021-08-24,"Kreatwn/PcoUnion Community of Schools",36.347697800964283
2021-08-24,"West LA Community of Schools",37.259457326962696
2021-08-24,"San Fernando Valley/Sylmar Community of Schools",44.050511252903327
2021-08-24,"South Gate Community of Schools",26.999758423214107
2021-08-24,"Panorama City Community of Schools",45.5309060650307
2021-08-24,"Taft Community of Schools",56.233481414834394
2021-08-24,"Van Nuys/Valley Glen Community of Schools",27.649354741221327
2021-08-24,"Harbor City/Lomita Community of Schools",70.099599848117535
2021-08-24,"Westchester Community of Schools",50.430056313562886
2021-08-24,"Huntington Park/Vernon Community of Schools",30.912417601697676
2021-08-25,"Fremont Community of Schools",41.181073178767043
2021-08-25,"Achievement Network Community of Schools",29.542097488921712
2021-08-25,"MacArthur Park Community of Schools",46.933920277071977
